Train_Size,Val_RMSE,Val_R2
9000,0.4038741255774045,0.83685302734375
6000,0.43636312250469217,0.8095491528511047
3000,0.4968987039394062,0.7530422806739807
2000,0.5489575650850985,0.6985852718353271
1000,0.6679778516718176,0.5537163019180298
750,0.7279650778594927,0.46996086835861206
500,0.8110899794742054,0.34200143814086914
350,1.0090663709710974,-0.01841866970062256
200,1.0105322283437992,-0.021379590034484863
100,1.0053473196975071,-0.01092541217803955
50,1.0059143643949489,-0.012066125869750977
